Date,PREC.I-1 (in) ,PREC (m),TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,ID,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,ID,SNWD.I-1 (m) ,SNDENS_gcm3,SNDENS_kgm3,ID,SNThermCond_,SNThermCond_Sturm,ID,SNThermCond_est,ID,Permadata_surface_temp,,,
11/23/14,1.2,0.03,NA,NA,NA,25,-9.45,16,25,0.41,0.08,75.00,25,0.02,0.04,25,0.15,25,-1.117,,,
11/24/14,1.2,0.03,-15.6,-6.5,-19.1,26,-12.3,16,26,0.41,0.08,75.00,26,0.02,0.04,26,0.15,26,-1.278,,,
11/25/14,1.2,0.03,-17.6,-14.6,-18.9,27,-16.4,16,27,0.41,0.08,75.00,27,0.02,0.04,27,0.15,27,-1.439,,,
11/26/14,1.2,0.03,-20.8,-17.4,-21.2,28,-18.7,16,28,0.41,0.08,75.00,28,0.02,0.04,28,0.15,28,-1.52,,,
11/27/14,1.2,0.03,-13.4,-10.4,-22.2,29,-16.9,16,29,0.41,0.08,75.00,29,0.02,0.04,29,0.15,29,-1.764,,,
11/28/14,1.2,0.03,-11.2,-3.8,-15.7,30,-11,16,30,0.41,0.08,75.00,30,0.02,0.04,30,0.15,30,-1.715,,,
11/29/14,1.2,0.03,-21.4,-7.1,-23.7,31,-12.2,16,31,0.41,0.08,75.00,31,0.02,0.04,31,0.15,31,-1.723,,,
11/30/14,1.2,0.03,-22.3,-20.4,-24.9,32,-23.3,16,32,0.41,0.08,75.00,32,0.02,0.04,32,0.15,32,-2.009,,,
12/1/14,1.2,0.03,-17.2,-13.7,-24.8,33,-18.8,16,33,0.41,0.08,75.00,33,0.02,0.04,33,0.15,33,-2.092,,,
12/2/14,1.2,0.03,-21.7,-15.2,-25.6,34,-18.1,16,34,0.41,0.08,75.00,34,0.02,0.04,34,0.15,34,-2.133,,,
12/3/14,1.2,0.03,-25.1,-21.7,-25.1,35,-23.6,16,35,0.41,0.08,75.00,35,0.02,0.04,35,0.15,35,-2.133,,,
12/4/14,1.2,0.03,-26.4,-24.1,-27.9,36,-26.3,15,36,0.38,0.08,80.00,36,0.02,0.04,36,0.15,36,-2.422,,,
12/5/14,1.2,0.03,-25.5,-22.4,-27.9,37,-25.1,15,37,0.38,0.08,80.00,37,0.02,0.04,37,0.15,37,-2.693,,,
12/6/14,1.2,0.03,-24.3,-23.2,-25.8,38,-24.6,15,38,0.38,0.08,80.00,38,0.02,0.04,38,0.15,38,-2.714,,,
12/7/14,1.2,0.03,-32.3,-24.3,-32.7,39,-29.9,15,39,0.38,0.08,80.00,39,0.02,0.04,39,0.15,39,-2.786,,,
12/8/14,1.2,0.03,-35.9,-31.3,-36.7,40,-32.8,15,40,0.38,0.08,80.00,40,0.02,0.04,40,0.15,40,-3.158,,,
12/9/14,1.2,0.03,-33.7,-33.6,-37.6,41,-35.8,15,41,0.38,0.08,80.00,41,0.02,0.04,41,0.15,41,-3.563,,,
12/10/14,1.2,0.03,-38.1,-33.7,-38.6,42,-36.4,15,42,0.38,0.08,80.00,42,0.02,0.04,42,0.15,42,-3.778,,,
12/11/14,1.2,0.03,-33.8,-33.8,-39.2,43,-37.2,15,43,0.38,0.08,80.00,43,0.02,0.04,43,0.15,43,-4.096,,,
12/12/14,1.2,0.03,-30.5,-30.5,-34,44,-32.4,15,44,0.38,0.08,80.00,44,0.02,0.04,44,0.15,44,-4.126,,,
12/13/14,1.2,0.03,-25.9,-25.9,-30.5,45,-28.8,15,45,0.38,0.08,80.00,45,0.02,0.04,45,0.15,45,-3.908,,,
12/14/14,1.2,0.03,-26.9,-24.7,-29.3,46,-26.2,15,46,0.38,0.08,80.00,46,0.02,0.04,46,0.15,46,-3.735,,,
12/15/14,1.2,0.03,-27.3,-26.4,-29.4,47,-27.8,15,47,0.38,0.08,80.00,47,0.02,0.04,47,0.15,47,-3.866,,,
12/16/14,1.2,0.03,-25.6,-25.4,-27.3,48,-26.3,15,48,0.38,0.08,80.00,48,0.02,0.04,48,0.15,48,-4.039,,,
12/17/14,1.2,0.03,-23.7,-22.2,-26.4,49,-23.8,15,49,0.38,0.08,80.00,49,0.02,0.04,49,0.15,49,-4.412,,,
12/18/14,1.3,0.03,-22.4,-21.1,-25.3,50,-23.1,16,50,0.41,0.08,81.25,50,0.02,0.04,50,0.15,50,-4.749,,,
12/19/14,1.3,0.03,-20.8,-20.8,-24.3,51,-23,16,51,0.41,0.08,81.25,51,0.02,0.04,51,0.15,51,-4.883,,,
12/20/14,1.3,0.03,-26.4,-18.4,-26.5,52,-22.4,16,52,0.41,0.08,81.25,52,0.02,0.04,52,0.15,52,-5,,,
12/21/14,1.3,0.03,-25.8,-24.4,-27.7,53,-25.6,16,53,0.41,0.08,81.25,53,0.02,0.04,53,0.15,53,-5.198,,,
12/22/14,1.3,0.03,-19.9,-19.8,-26.3,54,-24.7,16,54,0.41,0.08,81.25,54,0.02,0.04,54,0.15,54,-5.515,,,
12/23/14,1.3,0.03,-18.3,-18.3,-23.4,55,-21,17,55,0.43,0.08,76.47,55,0.02,0.04,55,0.15,55,-5.699,,,
12/24/14,1.3,0.03,-18.9,-17.5,-19.1,56,-18.1,17,56,0.43,0.08,76.47,56,0.02,0.04,56,0.15,56,-5.79,,,
12/25/14,1.3,0.03,-21.9,-18.9,-22.7,57,-21.1,16,57,0.41,0.08,81.25,57,0.02,0.04,57,0.15,57,-5.744,,,
12/26/14,1.4,0.04,-20.8,-20.2,-22.2,58,-21.2,16,58,0.41,0.09,87.50,58,0.02,0.04,58,0.15,58,-5.827,,,
12/27/14,1.5,0.04,-23.2,-19.2,-23.4,59,-20.8,16,59,0.41,0.09,93.75,59,0.03,0.04,59,0.15,59,-5.882,,,
12/28/14,1.5,0.04,-21.9,-20.4,-28.4,60,-25.3,16,60,0.41,0.09,93.75,60,0.03,0.04,60,0.15,60,-5.918,,,
12/29/14,1.5,0.04,-4.6,-0.6,-21.9,61,-7.1,16,61,0.41,0.09,93.75,61,0.03,0.04,61,0.15,61,-6.067,,,
12/30/14,1.5,0.04,-11.2,-0.7,-12.3,62,-4.6,16,62,0.41,0.09,93.75,62,0.03,0.04,62,0.15,62,-5.744,,,
12/31/14,1.5,0.04,-15.1,-9.6,-18.5,63,-15,16,63,0.41,0.09,93.75,63,0.03,0.04,63,0.15,63,-5.652,,,
1/1/15,2,0.05,-14.4,-11.8,-15.3,64,-13.7,17,64,0.43,0.12,117.65,64,0.04,0.05,64,0.3,64,-5.744,,,
1/2/15,2,0.05,-9.8,-7.3,-17.2,65,-11.8,17,65,0.43,0.12,117.65,65,0.04,0.05,65,0.3,65,-5.744,,,
1/3/15,2,0.05,-10,-7.7,-13.7,66,-10.9,17,66,0.43,0.12,117.65,66,0.04,0.05,66,0.3,66,-5.836,,,
1/4/15,2,0.05,-10.8,-4.4,-12.7,67,-8.3,17,67,0.43,0.12,117.65,67,0.04,0.05,67,0.3,67,-6.021,,,
1/5/15,2,0.05,-14.3,-6.2,-17.1,68,-12,16,68,0.41,0.13,125.00,68,0.05,0.05,68,0.3,68,-6.3,,,
1/6/15,2,0.05,-12.9,-10.8,-18.1,69,-14.4,16,69,0.41,0.13,125.00,69,0.05,0.05,69,0.3,69,-6.676,,,
1/7/15,2,0.05,-19.3,-11.9,-20.2,70,-15.7,16,70,0.41,0.13,125.00,70,0.05,0.05,70,0.3,70,-6.629,,,
1/8/15,2,0.05,-6.3,-5.6,-25.2,71,-16.2,16,71,0.41,0.13,125.00,71,0.05,0.05,71,0.3,71,-6.629,,,
1/9/15,2,0.05,2.1,2.6,-8.8,72,-3.1,16,72,0.41,0.13,125.00,72,0.05,0.05,72,0.3,72,-6.818,,,
1/10/15,2,0.05,-8.2,2.1,-8.2,73,-3.6,16,73,0.41,0.13,125.00,73,0.05,0.05,73,0.3,73,-6.771,,,
1/11/15,2,0.05,-20.1,-8.2,-20.1,74,-13.2,16,74,0.41,0.13,125.00,74,0.05,0.05,74,0.3,74,-6.44,,,
1/12/15,2,0.05,-27.9,-20.1,-30.5,75,-25.3,16,75,0.41,0.13,125.00,75,0.05,0.05,75,0.3,75,-6.487,,,
1/13/15,2,0.05,-27.8,-21.9,-30.7,76,-25.6,16,76,0.41,0.13,125.00,76,0.05,0.05,76,0.3,76,-6.913,,,
1/14/15,2,0.05,-28,-26,-32.8,77,-30.3,15,77,0.38,0.13,133.33,77,0.06,0.05,77,0.3,77,-7.25,,,
1/15/15,2,0.05,-31.6,-23.8,-32.9,78,-28.7,16,78,0.41,0.13,125.00,78,0.05,0.05,78,0.3,78,-7.81,,,
1/16/15,2,0.05,-26.6,-26.6,-33.7,79,-29.2,16,79,0.41,0.13,125.00,79,0.05,0.05,79,0.3,79,-8.31,,,
1/17/15,2.1,0.05,-21.3,-21.3,-26.7,80,-23.8,17,80,0.43,0.12,123.53,80,0.05,0.05,80,0.3,80,-8.48,,,
1/18/15,2.2,0.06,-19.9,-18.4,-21.3,81,-19.7,17,81,0.43,0.13,129.41,81,0.05,0.05,81,0.3,81,-8.38,,,
1/19/15,2.2,0.06,-17.4,-17.4,-21.9,82,-20.4,19,82,0.48,0.12,115.79,82,0.04,0.05,82,0.3,82,-8.23,,,
1/20/15,2.2,0.06,-15.2,-13.4,-17.4,83,-15.1,19,83,0.48,0.12,115.79,83,0.04,0.05,83,0.3,83,-8.08,,,
1/21/15,2.3,0.06,-17.8,-4.7,-18.2,84,-13.1,20,84,0.51,0.12,115.00,84,0.04,0.04,84,0.3,84,-8.08,,,
1/22/15,2.3,0.06,-23.6,-17.7,-24.7,85,-22.7,19,85,0.48,0.12,121.05,85,0.05,0.05,85,0.3,85,-8.08,,,
1/23/15,2.3,0.06,-25.4,-23.5,-26.4,86,-24.8,19,86,0.48,0.12,121.05,86,0.05,0.05,86,0.3,86,-8.38,,,
1/24/15,2.3,0.06,-29.4,-25.2,-30.1,87,-27.8,18,87,0.46,0.13,127.78,87,0.05,0.05,87,0.3,87,-8.68,,,
1/25/15,2.3,0.06,-32.9,-29.4,-34.8,88,-31.9,17,88,0.43,0.14,135.29,88,0.06,0.05,88,0.3,88,-9.09,,,
1/26/15,2.3,0.06,-29.2,-28.8,-34.5,89,-31.3,16,89,0.41,0.14,143.75,89,0.07,0.05,89,0.3,89,-9.66,,,
1/27/15,2.3,0.06,-29.9,-24.9,-31.5,90,-27.6,16,90,0.41,0.14,143.75,90,0.07,0.05,90,0.3,90,-9.81,,,
1/28/15,2.6,0.07,-22.7,-22.7,-29.9,91,-25.4,19,91,0.48,0.14,136.84,91,0.06,0.05,91,0.3,91,-9.81,,,
1/29/15,2.6,0.07,-23.6,-20.9,-23.6,92,-22.2,18,92,0.46,0.14,144.44,92,0.07,0.05,92,0.3,92,-9.81,,,
1/30/15,2.6,0.07,-20.7,-20.2,-25.1,93,-22.6,18,93,0.46,0.14,144.44,93,0.07,0.05,93,0.3,93,-10.13,,,
1/31/15,2.6,0.07,-6.6,-6,-20.8,94,-10.3,17,94,0.43,0.15,152.94,94,0.08,0.06,94,0.3,94,-10.11,,,
2/1/15,2.6,0.07,-13.8,-6.4,-16.7,95,-11.6,16,95,0.41,0.16,162.50,95,0.09,0.06,95,0.3,95,-9.19,,,
2/2/15,2.6,0.07,-3.4,-3.4,-15.3,96,-10.2,16,96,0.41,0.16,162.50,96,0.09,0.06,96,0.3,96,-9.24,,,
2/3/15,2.6,0.07,-12.9,-2.7,-13.6,97,-7.9,16,97,0.41,0.16,162.50,97,0.09,0.06,97,0.3,97,-8.84,,,
2/4/15,2.6,0.07,-26.8,-12.6,-27.1,98,-17.2,16,98,0.41,0.16,162.50,98,0.09,0.06,98,0.3,98,-8.7,,,
2/5/15,2.6,0.07,-27.9,-26,-30.4,99,-27.7,16,99,0.41,0.16,162.50,99,0.09,0.06,99,0.3,99,-9.19,,,
2/6/15,2.6,0.07,-21.8,-18.5,-29.4,100,-24,16,100,0.41,0.16,162.50,100,0.09,0.06,100,0.3,100,-10.09,,,
2/7/15,2.6,0.07,-31.8,-19.4,-32.8,101,-27.6,16,101,0.41,0.16,162.50,101,0.09,0.06,101,0.3,101,-10.58,,,
2/8/15,2.6,0.07,-25.7,-25.7,-34.7,102,-29.7,16,102,0.41,0.16,162.50,102,0.09,0.06,102,0.3,102,-11.21,,,
2/9/15,2.6,0.07,-28,-24.6,-29.2,103,-26.6,16,103,0.41,0.16,162.50,103,0.09,0.06,103,0.3,103,-11.16,,,
2/10/15,2.6,0.07,-22.4,-21.8,-30.7,104,-26.3,16,104,0.41,0.16,162.50,104,0.09,0.06,104,0.3,104,-11.66,,,
2/11/15,2.6,0.07,-29.6,-22.2,-29.6,105,-25.4,16,105,0.41,0.16,162.50,105,0.09,0.06,105,0.3,105,-11.88,,,
2/12/15,2.6,0.07,-39,-26.2,-39,106,-34.9,16,106,0.41,0.16,162.50,106,0.09,0.06,106,0.3,106,-12.23,,,
2/13/15,2.6,0.07,-35.8,-35.2,-39.2,107,-37.6,16,107,0.41,0.16,162.50,107,0.09,0.06,107,0.3,107,-12.97,,,
2/14/15,2.6,0.07,-34.4,-32.3,-36.3,108,-35.3,16,108,0.41,0.16,162.50,108,0.09,0.06,108,0.3,108,-13.22,,,
2/15/15,2.8,0.07,-29.6,-29.5,-34.9,109,-31.6,18,109,0.46,0.16,155.56,109,0.08,0.06,109,0.3,109,-13.22,,,
2/16/15,2.8,0.07,-26.2,-25.2,-29.7,110,-27.9,18,110,0.46,0.16,155.56,110,0.08,0.06,110,0.3,110,-12.89,,,
2/17/15,2.8,0.07,-20.8,-3.8,-26.7,111,-12.4,18,111,0.46,0.16,155.56,111,0.08,0.06,111,0.3,111,-12.69,,,
2/18/15,2.8,0.07,-1,0.4,-23.7,112,-6.5,16,112,0.41,0.18,175.00,112,0.10,0.06,112,0.3,112,-12.13,,,
2/19/15,2.8,0.07,-1.7,0.9,-3.9,113,-1.3,16,113,0.41,0.18,175.00,113,0.10,0.06,113,0.3,113,-11,,,
2/20/15,2.8,0.07,-6.6,0.1,-8,114,-3.2,16,114,0.41,0.18,175.00,114,0.10,0.06,114,0.3,114,-10.24,,,
2/21/15,2.8,0.07,-11.3,-4.6,-13.8,115,-9.9,16,115,0.41,0.18,175.00,115,0.10,0.06,115,0.3,115,-10.08,,,
2/22/15,2.8,0.07,-14.2,-11.3,-17.6,116,-14.3,16,116,0.41,0.18,175.00,116,0.10,0.06,116,0.3,116,-10.18,,,
2/23/15,2.8,0.07,-19.2,-13.9,-19.2,117,-15.8,16,117,0.41,0.18,175.00,117,0.10,0.06,117,0.3,117,-10.25,,,
2/24/15,2.8,0.07,0.1,0.6,-19.8,118,-12.3,16,118,0.41,0.18,175.00,118,0.10,0.06,118,0.3,118,-10.4,,,
2/25/15,2.8,0.07,-8.1,0.8,-11.5,119,-3.8,16,119,0.41,0.18,175.00,119,0.10,0.06,119,0.3,119,-9.79,,,
2/26/15,2.8,0.07,-6,-5.3,-12.4,120,-8.3,16,120,0.41,0.18,175.00,120,0.10,0.06,120,0.3,120,-9.66,,,
2/27/15,2.8,0.07,-1.9,-0.4,-6.5,121,-2.8,16,121,0.41,0.18,175.00,121,0.10,0.06,121,0.3,121,-9.35,,,
2/28/15,2.8,0.07,-5.9,-0.8,-6.5,122,-3.5,19,122,0.48,0.15,147.37,122,0.07,0.05,122,0.3,122,-8.69,,,
3/1/15,2.8,0.07,-23.2,-1,-23.2,123,-7.8,15,123,0.38,0.19,186.67,123,0.11,0.07,123,0.3,123,-8.61,,,
3/2/15,2.8,0.07,-19.6,-17.1,-28.5,124,-23.4,16,124,0.41,0.18,175.00,124,0.10,0.06,124,0.3,124,-9.72,,,
3/3/15,2.8,0.07,-5.9,-3.3,-19.9,125,-10,16,125,0.41,0.18,175.00,125,0.10,0.06,125,0.3,125,-10.46,,,
3/4/15,2.8,0.07,-11.4,-0.1,-11.6,126,-3.8,16,126,0.41,0.18,175.00,126,0.10,0.06,126,0.3,126,-9.75,,,
3/5/15,2.8,0.07,-19.5,-11.4,-19.5,127,-16.6,16,127,0.41,0.18,175.00,127,0.10,0.06,127,0.3,127,-9.35,,,
3/6/15,2.8,0.07,-21.8,-19.5,-25.6,128,-22.4,16,128,0.41,0.18,175.00,128,0.10,0.06,128,0.3,128,-9.66,,,
3/7/15,2.8,0.07,-7.7,-6,-21.8,129,-15,16,129,0.41,0.18,175.00,129,0.10,0.06,129,0.3,129,-9.97,,,
3/8/15,2.8,0.07,-16.9,-3.3,-16.9,130,-7.8,16,130,0.41,0.18,175.00,130,0.10,0.06,130,0.3,130,-9.87,,,
3/9/15,2.8,0.07,-27.6,-16.8,-27.7,131,-22.6,16,131,0.41,0.18,175.00,131,0.10,0.06,131,0.3,131,-9.78,,,
3/10/15,2.8,0.07,-27.7,-26.3,-29.1,132,-27.6,16,132,0.41,0.18,175.00,132,0.10,0.06,132,0.3,132,-10.33,,,
3/11/15,2.8,0.07,-29.8,-22.8,-30.1,133,-27.6,16,133,0.41,0.18,175.00,133,0.10,0.06,133,0.3,133,-11,,,
3/12/15,2.8,0.07,-34.1,-24.9,-34.1,134,-30.7,16,134,0.41,0.18,175.00,134,0.10,0.06,134,0.3,134,-12.08,,,
3/13/15,2.8,0.07,-36,-30.8,-36.4,135,-33.9,16,135,0.41,0.18,175.00,135,0.10,0.06,135,0.3,135,-12.97,,,
3/14/15,2.8,0.07,-34.4,-33.5,-36.4,136,-35.1,16,136,0.41,0.18,175.00,136,0.10,0.06,136,0.3,136,-13.58,,,
3/15/15,2.8,0.07,-29.3,-28.4,-35.6,137,-31.8,16,137,0.41,0.18,175.00,137,0.10,0.06,137,0.3,137,-13.83,,,
3/16/15,2.8,0.07,-21.2,-18.9,-30.5,138,-24.3,16,138,0.41,0.18,175.00,138,0.10,0.06,138,0.3,138,-13.76,,,
3/17/15,2.8,0.07,-5.7,-4.4,-25.2,139,-14.9,16,139,0.41,0.18,175.00,139,0.10,0.06,139,0.3,139,-13.58,,,
3/18/15,2.8,0.07,-11.9,-3.8,-13.4,140,-10,16,140,0.41,0.18,175.00,140,0.10,0.06,140,0.3,140,-12.64,,,
3/19/15,2.8,0.07,-20.2,-9.7,-21.3,141,-15.8,16,141,0.41,0.18,175.00,141,0.10,0.06,141,0.3,141,-12.12,,,
3/20/15,2.8,0.07,-20.3,-16.4,-20.6,142,-19.1,16,142,0.41,0.18,175.00,142,0.10,0.06,142,0.3,142,-12.06,,,
3/21/15,2.8,0.07,-20.2,-18.3,-20.6,143,-19.7,15,143,0.38,0.19,186.67,143,0.11,0.07,143,0.3,143,-12,,,
3/22/15,2.8,0.07,-25.8,-13.3,-26.3,144,-21.7,16,144,0.41,0.18,175.00,144,0.10,0.06,144,0.3,144,-12,,,
3/23/15,2.8,0.07,-19.2,-19.2,-27.2,145,-22.4,16,145,0.41,0.18,175.00,145,0.10,0.06,145,0.3,145,-12.29,,,
3/24/15,2.8,0.07,-21.3,-17.1,-23.9,146,-19.2,17,146,0.43,0.16,164.71,146,0.09,0.06,146,0.3,146,-12.12,,,
3/25/15,2.8,0.07,-11.3,-9.1,-25.2,147,-19.9,16,147,0.41,0.18,175.00,147,0.10,0.06,147,0.3,147,-11.95,,,
3/26/15,2.8,0.07,-17,-5.4,-19.4,148,-12.2,17,148,0.43,0.16,164.71,148,0.09,0.06,148,0.3,148,-11.78,,,
3/27/15,2.8,0.07,-21.4,-16.7,-24.6,149,-21.3,16,149,0.41,0.18,175.00,149,0.10,0.06,149,0.3,149,-11.78,,,
3/28/15,2.8,0.07,-21.4,-15.7,-21.8,150,-19.9,16,150,0.41,0.18,175.00,150,0.10,0.06,150,0.3,150,-11.89,,,
3/29/15,2.8,0.07,-20.6,-16.7,-22.3,151,-20.3,17,151,0.43,0.16,164.71,151,0.09,0.06,151,0.3,151,-11.95,,,
3/30/15,2.8,0.07,-20.8,-12.5,-23.3,152,-20,17,152,0.43,0.16,164.71,152,0.09,0.06,152,0.3,152,-11.89,,,
3/31/15,2.8,0.07,-19.8,-10.5,-23.4,153,-19,17,153,0.43,0.16,164.71,153,0.09,0.06,153,0.3,153,-11.89,,,
4/1/15,2.8,0.07,-22.2,-14.3,-22.2,154,-18.9,17,154,0.43,0.16,164.71,154,0.09,0.06,154,0.3,154,-11.83,,,
4/2/15,2.8,0.07,-19.2,-17.7,-23.8,155,-21.3,17,155,0.43,0.16,164.71,155,0.09,0.06,155,0.3,155,-11.78,,,
4/3/15,2.8,0.07,-16.5,-15.8,-20.9,156,-17.3,17,156,0.43,0.16,164.71,156,0.09,0.06,156,0.3,156,-11.67,,,
4/4/15,2.9,0.07,-24.5,-13.1,-24.5,157,-17.9,18,157,0.46,0.16,161.11,157,0.08,0.06,157,0.3,157,-11.44,,,
4/5/15,2.9,0.07,-27.3,-13.8,-27.3,158,-22.4,18,158,0.46,0.16,161.11,158,0.08,0.06,158,0.3,158,-11.28,,,
4/6/15,2.9,0.07,-22.8,-12.4,-27.7,159,-23.4,18,159,0.46,0.16,161.11,159,0.08,0.06,159,0.3,159,-11.33,,,
4/7/15,2.9,0.07,-19.1,-15.1,-24.3,160,-19.6,18,160,0.46,0.16,161.11,160,0.08,0.06,160,0.3,160,-11.39,,,
4/8/15,3.4,0.09,-16,-15.9,-21.9,161,-18.4,23,161,0.58,0.15,147.83,161,0.07,0.05,161,0.3,161,-11.39,,,
4/9/15,3.4,0.09,-12.8,-6.4,-17.3,162,-12.4,23,162,0.58,0.15,147.83,162,0.07,0.05,162,0.3,162,-11.33,,,
4/10/15,3.4,0.09,-14.2,-10.6,-18.7,163,-14.4,22,163,0.56,0.15,154.55,163,0.08,0.06,163,0.3,163,-11.27,,,
4/11/15,3.5,0.09,-13.9,-10.2,-14.3,164,-13.1,24,164,0.61,0.15,145.83,164,0.07,0.05,164,0.3,164,-11,,,
4/12/15,3.5,0.09,-14.6,-4.5,-16.1,165,-12,24,165,0.61,0.15,145.83,165,0.07,0.05,165,0.3,165,-10.67,,,
4/13/15,3.5,0.09,-14.7,-6,-16.8,166,-13.6,24,166,0.61,0.15,145.83,166,0.07,0.05,166,0.3,166,-10.56,,,
4/14/15,3.5,0.09,-13.5,-5.3,-15.8,167,-13.2,24,167,0.61,0.15,145.83,167,0.07,0.05,167,0.3,167,-10.46,,,
4/15/15,3.5,0.09,-16.8,-6.9,-18.1,168,-14.3,24,168,0.61,0.15,145.83,168,0.07,0.05,168,0.3,168,-10.51,,,
4/16/15,3.5,0.09,-20.4,-8.1,-21.1,169,-17.1,24,169,0.61,0.15,145.83,169,0.07,0.05,169,0.3,169,-10.73,,,
4/17/15,3.5,0.09,-17,-12.4,-21.8,170,-17.3,23,170,0.58,0.15,152.17,170,0.07,0.06,170,0.3,170,-10.92,,,
4/18/15,3.5,0.09,-19.3,-9.7,-19.7,171,-15.9,24,171,0.61,0.15,145.83,171,0.07,0.05,171,0.3,171,-10.78,,,
4/19/15,3.5,0.09,-15.1,-8.7,-20.3,172,-14.6,24,172,0.61,0.15,145.83,172,0.07,0.05,172,0.3,172,-10.67,,,
4/20/15,3.5,0.09,4.2,6,-15.1,173,-4.6,23,173,0.58,0.15,152.17,173,0.07,0.06,173,0.3,173,-10.51,,,
4/21/15,3.5,0.00,-0.3,11.4,-0.3,174,3.5,22,174,0.00,0.00,0.00,174,0.00,0.02,174,0.3,174,-7.34,,,
4/22/15,3.6,0.09,-3.7,-0.3,-6.8,175,-4.5,25,175,0.64,0.14,144.00,175,0.07,0.05,175,0.3,175,-7.35,,,
4/23/15,3.6,0.09,-3.8,0.2,-4.1,176,-2.1,24,176,0.61,0.15,150.00,176,0.07,0.06,176,0.3,176,-7.76,,,
